Rank,Median Household Income,Zip Code ,Income level
1,247188,98050,very wealth
2,182308,98039,wealth
3,150729,98314,wealth
4,149557,98075,wealth
5,140799,98074,wealth
6,136833,98077,wealth
7,125651,98040,wealth
8,123548,98065,wealth
9,119637,98053,wealth
10,117917,99154,wealth
11,111216,98006,wealth
12,108793,98296,wealth
13,107009,98072,wealth
14,103995,98033,wealth
15,103086,98052,wealth
16,102760,98027,wealth
17,100694,98112,wealth
18,100344,98004,wealth
19,99519,98029,medium wealth
20,99257,98024,medium wealth
21,97806,98014,medium wealth
22,96689,99005,medium wealth
23,95976,98110,medium wealth
24,95666,98021,medium wealth
25,95487,98333,medium wealth
26,93750,99023,medium wealth
27,93573,98038,medium wealth
28,93486,98059,medium wealth
29,93475,99338,medium wealth
30,93004,98019,medium wealth
31,91199,98117,medium wealth
32,90758,98177,medium wealth
33,89942,98275,medium wealth
34,88862,98008,medium wealth
35,88633,98115,medium wealth
36,88472,98028,medium wealth
37,88006,98042,medium wealth
38,87470,98045,medium wealth
39,86886,98012,medium wealth
40,86382,99036,medium wealth
41,85639,98005,medium wealth
42,85150,98164,medium wealth
43,85040,98136,medium wealth
44,83790,98332,medium wealth
45,83611,98199,medium wealth
46,83602,98607,medium wealth
47,82857,98280,medium wealth
48,82532,98345,medium wealth
49,81918,98391,medium wealth
50,81761,98422,medium wealth
51,81329,98327,medium wealth
52,81221,98058,medium wealth
53,81134,98109,medium wealth
54,81037,98034,medium wealth
55,80164,99353,medium wealth
56,80113,98272,medium wealth
57,79265,98685,medium
58,79246,98020,medium
59,78941,98051,medium
60,78448,98642,medium
61,78044,98335,medium
62,77616,98258,medium
63,76925,98103,medium
64,76880,98374,medium
65,76722,98606,medium
66,76569,98290,medium
67,76500,98360,medium
68,76477,99025,medium
69,76458,98380,medium
70,76336,99352,medium
71,75833,99128,medium
72,75264,98007,medium
73,75046,99323,medium
74,74975,98011,medium
75,74750,98232,medium
76,74661,98119,medium
77,74580,98208,medium
78,74375,98538,medium
79,74102,98629,medium
80,74071,98026,medium
81,73811,98367,medium
82,73667,98116,medium
83,73511,98292,medium
84,72639,98205,medium
85,72568,98070,medium
86,72544,98121,medium
87,72540,98001,medium
88,72420,98056,medium
89,72241,98155,medium
90,72204,98686,medium
91,72127,99019,medium
92,72098,98321,medium
93,72045,98649,medium
94,71803,98092,medium
95,71597,98107,medium
96,71280,98010,medium
97,71132,98375,medium
98,70754,99026,medium
99,70738,98370,medium
100,70227,98385,medium
101,69886,98950,medium
102,69625,98346,medium
103,68977,98359,medium
104,68958,98252,medium
105,68750,98833,medium
106,68651,98513,medium
107,68170,98329,medium
108,68167,99113,medium
109,68118,98516,medium
110,68109,98102,medium
111,68104,98338,medium
112,68056,98311,medium
113,67881,98023,medium
114,67813,98262,medium
115,67655,98671,medium
116,67485,98354,medium
117,67454,98276,medium
118,67384,98501,medium
119,67367,99203,medium
120,67359,98126,medium
121,67250,98396,medium
122,67012,98251,medium
123,66890,98282,medium
124,66750,98938,medium
125,66517,98512,medium
126,66206,98604,medium
127,66201,99337,medium
128,66169,99003,medium
129,66135,98087,medium
130,66092,98223,medium
131,66067,98371,medium
132,65939,98407,medium
133,65907,98271,medium
134,65875,98342,medium
135,65864,98022,medium
136,65586,98340,medium
137,65462,98836,medium
138,65374,98166,medium
139,65321,98031,medium
140,65208,99360,medium
141,64917,99179,medium
142,64644,98270,medium
143,64524,98592,medium
144,64163,98446,medium
145,64053,98546,medium
146,63994,98387,medium
147,63971,98253,medium
148,63774,98674,medium
149,63750,99134,medium
150,63650,98260,medium
151,63364,99029,medium
152,63125,98243,medium
153,63121,98372,medium
154,63118,98036,medium
155,63030,98055,medium
156,63005,99320,medium
157,62647,99223,medium
158,62549,98862,medium
159,62475,98502,medium
160,62396,99401,medium
161,62328,98406,medium
162,62222,98585,medium
163,62143,98365,medium
164,62113,98383,medium
165,62083,99135,medium
166,61961,99354,medium
167,61875,98832,medium
168,61625,98295,medium
169,61558,98236,medium
170,61516,98580,medium
171,61429,98239,medium
172,61396,98043,medium
173,61307,98443,medium
174,61250,98328,medium
175,61228,98373,medium
176,61116,98250,medium
177,60913,98828,medium
178,60833,98565,medium
179,60811,98221,medium
180,60750,99030,medium
181,60647,98358,medium
182,60629,98037,medium
183,60521,99146,medium
184,60263,99123,medium
185,60153,98249,medium
186,60143,98144,medium
187,60125,98467,medium
188,60079,98506,medium
189,60034,98662,medium
190,59871,98675,medium
191,59852,98247,medium
192,59758,99037,medium
193,59735,98815,medium
194,59709,98229,medium
195,59708,98603,medium
196,59653,98940,medium
197,59637,98178,medium
198,59615,98240,medium
199,59375,98286,medium
200,59369,98248,medium
201,59354,98264,medium
202,59325,98682,medium
203,59135,98445,medium
204,58874,98683,medium
205,58750,98222,medium
206,58608,99016,medium
207,58550,98542,medium
208,58401,98571,medium
209,58337,98403,medium
210,58300,99321,medium
211,58277,98230,medium
212,58239,98579,medium
213,58125,98325,medium
214,58063,98908,medium
215,58008,98424,medium
216,57904,99161,medium
217,57882,99350,medium
218,57880,98388,medium
219,57872,98802,medium
220,57756,98274,medium
221,57727,99021,medium
222,57706,99224,medium
223,57583,98942,medium
224,57533,99301,medium
225,57413,98366,medium
226,57261,98203,medium
227,57216,98684,medium
228,57198,98503,medium
229,57083,99341,medium
230,57073,98576,medium
231,57068,98936,medium
232,56932,98941,medium
233,56875,98613,medium
234,56852,98524,medium
235,56607,98811,medium
236,56528,98323,medium
237,56320,98146,medium
238,56250,99322,medium
239,56133,98498,medium
240,56114,98284,medium
241,56036,98312,medium
242,55925,98226,medium
243,55725,98122,medium
244,55721,98953,medium
245,55667,98537,medium
246,55625,98625,medium
247,55587,99022,medium
248,55516,98198,medium
249,55333,98830,medium
250,55308,98589,medium
251,55139,99345,medium
252,55021,98611,medium
253,54867,98233,medium
254,54861,99152,medium
255,54792,98645,medium
256,54750,98563,medium
257,54688,98392,medium
257,54688,98601,medium
259,54655,98672,medium
260,54651,98823,medium
261,54621,98528,medium
262,54522,98390,medium
263,54446,99208,medium
264,54250,99326,medium
265,54098,98294,medium
266,54010,98466,medium
267,53949,98106,medium
268,53864,98068,medium
269,53792,98277,medium
270,53750,98650,medium
271,53650,98257,medium
272,53534,98597,medium
273,53438,99402,medium
274,53415,98118,medium
275,53409,98381,medium
276,53263,99027,medium
277,53250,98602,medium
278,53214,98923,medium
279,53137,98663,medium
280,53125,99176,medium
281,53050,98351,medium
282,53013,98237,medium
283,53000,99371,medium
284,52934,98108,medium
285,52780,98557,medium
286,52663,98133,medium
287,52625,98946,medium
288,52500,99147,medium
289,52384,99343,medium
290,52353,98125,medium
291,52339,98349,medium
292,52328,99006,medium
293,52297,98030,medium
294,52222,98047,medium
295,52083,98925,medium
296,52057,99206,medium
297,52045,99018,medium
298,51850,98937,medium
299,51827,98843,medium
300,51771,98638,medium
301,51726,99009,medium
302,51687,99212,medium
303,51685,98532,medium
304,51635,99008,medium
305,51489,98664,medium
306,51477,98643,medium
307,51471,98648,medium
308,51276,99122,medium
309,51189,99347,medium
310,51125,98279,medium
311,51105,98922,medium
312,51083,98933,medium
313,50911,98801,medium
314,50417,99329,medium
315,50305,98665,medium
316,50195,98847,medium
