id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,reviews_per_month,price
3123306,5/22/14,0,N/A,N/A,N/A,f,1,t,f,Vidigal,-22.99298,-43.2391,Entire home/apt,6,1 bath,2,2,,800
912633,1/29/13,1,N/A,N/A,N/A,f,2,t,f,Rio Comprido,-22.92466,-43.20748,Shared room,4,1 shared bath,,2,0.01,407
29051942,12/2/12,1,within an hour,98%,28%,t,85,t,t,Ipanema,-22.98341,-43.2147,Entire home/apt,3,1 bath,,1,0.02,334
52279209,2/9/18,0,within an hour,100%,92%,f,33,t,t,Botafogo,-22.94617,-43.18323,Entire home/apt,2,1 bath,1,1,0.15,130
13561531,4/29/16,0,N/A,N/A,N/A,f,2,t,f,Barra da Tijuca,-23.00598,-43.3217,Entire home/apt,6,2 baths,3,3,,6222
45636008,7/4/18,0,N/A,N/A,N/A,f,1,t,t,Guaratiba,-22.95318,-43.57231,Entire home/apt,1,0 baths,,4,,140
1879131,11/3/13,1,N/A,N/A,0%,f,1,t,t,Centro,-22.91666,-43.18825,Entire home/apt,2,1 bath,1,1,0.13,383
11386489,5/4/14,0,N/A,N/A,N/A,f,2,t,f,Maracan,-22.91437,-43.22989,Entire home/apt,12,6 baths,6,12,,2000
1010761,12/2/12,1,within an hour,98%,28%,t,85,t,t,Ipanema,-22.98528,-43.20015,Entire home/apt,6,2 baths,3,4,,1435
11376479,2/20/16,1,N/A,N/A,N/A,,2,t,f,Centro,-22.90629,-43.17195,Private room,2,2 baths,,2,,300
42321866,2/16/20,0,N/A,N/A,0%,,1,t,f,Copacabana,-22.96781,-43.1849,Private room,2,1 private bath,,1,,200
2562754,3/14/14,0,N/A,N/A,N/A,f,1,t,f,Copacabana,-22.96419,-43.17962,Entire home/apt,3,1.5 baths,2,2,,1436
14469401,7/23/16,0,within a day,100%,67%,f,5,t,t,Recreio dos Bandeirantes,-23.02555,-43.47452,Entire home/apt,6,2 baths,2,2,,350
2421783,2/19/14,0,N/A,N/A,N/A,f,1,t,f,Campinho,-22.88624,-43.34384,Entire home/apt,4,1 bath,3,4,,900
8.72647E+17,9/19/18,1,within an hour,100%,100%,f,1,t,t,Centro,-22.91220215,-43.18739787,Entire home/apt,2,1 bath,1,1,,135
1012156,12/2/12,1,within an hour,98%,28%,t,85,t,t,Copacabana,-22.96969,-43.18847,Private room,2,,1,,,383
97636,4/9/11,1,within a few hours,100%,73%,f,15,t,t,Botafogo,-22.94169,-43.18703,Private room,2,1 shared bath,,2,0.13,277
15790056,9/21/15,0,within an hour,91%,100%,f,11,t,t,Copacabana,-22.98414,-43.1913,Entire home/apt,4,1 bath,1,2,1.34,191
7.09351E+17,1/19/22,0,N/A,N/A,N/A,f,1,f,t,Centro,-22.91192,-43.18348,Entire home/apt,4,2 baths,2,2,,900
8.63883E+17,2/8/18,1,within an hour,100%,94%,f,12,t,f,Leme,-22.96383852,-43.16974267,Entire home/apt,3,2 baths,2,2,,457
13674697,6/18/16,0,a few days or more,0%,N/A,f,1,t,f,Botafogo,-22.94299,-43.18681,Entire home/apt,3,1 bath,1,3,,766
8.23318E+17,1/6/19,1,N/A,N/A,0%,,4,t,f,Lagoa,-22.9768298,-43.1968611,Private room,2,1 private bath,,2,,703
2250365,1/7/13,0,within a few hours,100%,99%,f,9,t,t,Copacabana,-22.98376,-43.1923,Entire home/apt,5,2 baths,2,3,0.44,785
42261073,12/12/19,0,within an hour,100%,100%,,7,t,f,Flamengo,-22.92621,-43.17545,Shared room,1,1 shared bath,,1,,65
54223590,4/28/13,1,within an hour,100%,100%,t,2,t,t,Copacabana,-22.98321,-43.19102,Entire home/apt,4,1 bath,1,2,3.35,216
13770312,6/29/16,0,N/A,N/A,N/A,f,1,t,f,Ipanema,-22.98513,-43.20988,Entire home/apt,4,1 bath,1,2,0.02,2393
23572042,2/19/16,1,within an hour,100%,99%,,15,t,t,Ipanema,-22.98442,-43.20321,Private room,2,1 shared bath,,1,4.42,132
3052009,10/29/12,1,within a few hours,95%,84%,t,126,t,t,Santa Teresa,-22.91562,-43.18441,Entire home/apt,4,1 bath,1,2,0.01,850
5.97316E+17,7/31/18,1,within an hour,100%,100%,f,9,t,t,Leme,-22.963688,-43.172798,Entire home/apt,8,2 baths,3,8,0.76,284
7.39757E+17,10/17/22,0,within an hour,90%,86%,t,1,t,t,Centro,-22.91475,-43.18541,Entire home/apt,4,1 bath,1,2,2.41,150
39935707,11/1/19,0,within a day,100%,0%,f,2,t,t,Botafogo,-22.94538,-43.18359,Entire home/apt,2,1 bath,2,2,0.02,180
6.34211E+17,2/6/16,1,N/A,N/A,100%,t,39,t,t,Copacabana,-22.96823,-43.18995,Entire home/apt,4,1.5 baths,2,2,0.33,329
7.40473E+17,1/30/15,0,within a day,69%,80%,f,30,t,t,Copacabana,-22.97988,-43.1902,Entire home/apt,5,2 baths,2,2,3.21,215
6.88376E+17,3/26/16,0,within a few hours,90%,60%,f,2,t,t,Botafogo,-22.945161,-43.1853862,Entire home/apt,1,1 bath,1,1,2.34,110
7.0525E+17,5/27/14,0,within a few hours,93%,56%,,21,t,t,Jacarepagu,-22.97089,-43.39299,Private room,2,1 private bath,,1,,400
46158205,2/19/15,0,within an hour,98%,92%,f,58,t,t,Ipanema,-22.9836,-43.20662,Entire home/apt,4,2 baths,2,2,0.11,700
37753021,4/29/18,1,within an hour,100%,100%,t,16,t,t,Copacabana,-22.98569,-43.19008,Entire home/apt,4,1 bath,1,2,1.8,253
49640461,4/10/16,1,within a day,90%,30%,,6,t,t,Copacabana,-22.98487,-43.18996,Private room,2,1 shared bath,,1,0.15,200
10836724,1/25/16,0,N/A,N/A,N/A,f,3,t,f,Barra da Tijuca,-23.01074,-43.43431,Entire home/apt,10,7 baths,4,7,,3829
50457592,3/23/11,1,within an hour,100%,43%,t,92,t,t,Leblon,-22.98572,-43.22394,Entire home/apt,3,1 bath,1,,,265
9214195,12/29/14,0,N/A,N/A,N/A,f,1,t,t,Jacarepagu,-22.96871,-43.42544,Entire home/apt,5,2 baths,3,5,,1200
24115982,8/19/15,1,within a few hours,100%,100%,t,1,t,t,Leme,-22.96316,-43.17095,Entire home/apt,2,1 bath,1,1,0.91,163
12726985,4/27/16,0,N/A,N/A,N/A,f,1,t,f,Leblon,-22.98386,-43.22479,Entire home/apt,4,1 bath,2,2,0.01,300
41939482,10/11/17,0,N/A,N/A,N/A,f,3,t,t,Taquara,-22.93436,-43.37854,Entire home/apt,4,1 bath,2,2,,60
7.81433E+17,8/12/16,0,N/A,N/A,N/A,t,9,t,t,Camorim,-22.97557703,-43.4145144,Entire home/apt,2,1 bath,1,2,,695
