city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount (R$)
Campinas,64,2,2,2,51,acept,not furnished,1900
Sao Paulo,353,4,5,5,46,acept,not furnished,10000
Sao Paulo,250,3,2,3,35,acept,furnished,15000
Sao Paulo,84,2,3,2,32,not acept,furnished,8500
Sao Paulo,51,1,1,0,32,not acept,not furnished,3250
Belo Horizonte,305,4,5,5,29,acept,not furnished,14000
Sao Paulo,292,4,4,4,29,acept,not furnished,5000
Sao Paulo,98,2,2,2,29,acept,not furnished,8500
Sao Paulo,105,1,1,2,29,not acept,not furnished,8700
Sao Paulo,77,1,2,1,29,acept,furnished,7740
Sao Paulo,423,4,5,7,28,acept,not furnished,14000
Sao Paulo,280,4,6,5,28,acept,not furnished,11500
Sao Paulo,216,4,3,4,28,not acept,not furnished,5000
Sao Paulo,350,3,6,4,28,acept,furnished,12000
Sao Paulo,40,1,2,1,28,not acept,furnished,4200
Sao Paulo,40,1,2,1,28,not acept,furnished,4200
Sao Paulo,300,4,2,4,27,acept,not furnished,10040
Sao Paulo,180,3,3,4,27,acept,not furnished,6500
Sao Paulo,100,2,3,2,27,acept,furnished,6028
Sao Paulo,97,2,2,0,27,not acept,furnished,10200
Sao Paulo,60,2,2,1,27,acept,furnished,3300
Sao Paulo,98,1,2,0,27,acept,furnished,15000
Sao Paulo,42,1,1,1,27,acept,not furnished,5300
Sao Paulo,42,1,1,1,27,not acept,furnished,5250
Belo Horizonte,305,4,5,5,26,acept,not furnished,14000
Sao Paulo,240,4,4,4,26,acept,not furnished,13000
Sao Paulo,211,4,4,4,26,not acept,not furnished,2880
Sao Paulo,220,2,4,3,26,not acept,not furnished,12960
Sao Paulo,74,2,3,2,26,acept,not furnished,3200
Sao Paulo,74,2,3,2,26,acept,not furnished,3200
Sao Paulo,33,1,1,1,26,not acept,furnished,2000
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,1,26,acept,not furnished,2300
Sao Paulo,23,1,1,0,26,acept,not furnished,2150
Sao Paulo,22,1,1,0,26,acept,not furnished,2100
Sao Paulo,22,1,1,0,26,acept,not furnished,2100
Sao Paulo,22,1,1,0,26,acept,not furnished,2050
Sao Paulo,22,1,1,0,26,acept,not furnished,2000
Sao Paulo,215,3,4,4,25,acept,not furnished,3980
Sao Paulo,206,3,3,4,25,acept,not furnished,12500
Rio de Janeiro,94,3,2,1,25,acept,not furnished,3300
Sao Paulo,96,2,2,2,25,not acept,furnished,9000
Sao Paulo,84,2,3,2,25,acept,furnished,6900
Sao Paulo,64,2,2,2,25,not acept,not furnished,3500
Sao Paulo,50,2,1,1,25,acept,furnished,3900
Sao Paulo,45,2,1,1,25,not acept,not furnished,1756
Sao Paulo,148,1,2,4,25,acept,not furnished,9900
Sao Paulo,79,1,2,2,25,not acept,furnished,5500
Sao Paulo,51,1,1,1,25,acept,furnished,4650
Sao Paulo,50,1,1,1,25,not acept,furnished,3700
Sao Paulo,37,1,1,1,25,not acept,furnished,2850
Sao Paulo,25,1,1,1,25,acept,not furnished,2100
Sao Paulo,23,1,1,0,25,acept,not furnished,2150
Sao Paulo,23,1,1,0,25,acept,not furnished,2100
Sao Paulo,23,1,1,0,25,acept,not furnished,2100
Sao Paulo,22,1,1,1,25,acept,not furnished,2200
Sao Paulo,22,1,1,1,25,acept,not furnished,2200
Sao Paulo,22,1,1,0,25,acept,not furnished,2200
Sao Paulo,22,1,1,0,25,acept,not furnished,2200
Sao Paulo,22,1,1,0,25,acept,not furnished,2100
Sao Paulo,22,1,1,0,25,acept,not furnished,2100
Sao Paulo,22,1,1,0,25,acept,not furnished,2100
Sao Paulo,22,1,1,0,25,acept,not furnished,2100
Sao Paulo,260,4,4,4,24,acept,not furnished,4000
Sao Paulo,238,4,3,4,24,acept,not furnished,10200
Sao Paulo,197,3,4,3,24,acept,not furnished,10000
Sao Paulo,174,3,5,3,24,acept,not furnished,6800
Sao Paulo,140,3,4,2,24,acept,not furnished,8500
Rio de Janeiro,140,3,3,1,24,not acept,not furnished,1370
Sao Paulo,100,2,2,2,24,acept,furnished,4370
Sao Paulo,98,2,2,2,24,acept,furnished,7500
Sao Paulo,74,2,3,2,24,acept,not furnished,3200
Sao Paulo,74,2,3,2,24,acept,not furnished,3200
Sao Paulo,70,2,2,0,24,not acept,furnished,4000
Sao Paulo,70,2,1,0,24,not acept,furnished,3200
Sao Paulo,65,2,1,0,24,acept,furnished,6000
Sao Paulo,64,2,1,1,24,not acept,not furnished,1817
Sao Paulo,57,2,1,1,24,acept,furnished,3500
Sao Paulo,50,2,1,1,24,acept,not furnished,1490
Sao Paulo,150,1,2,2,24,acept,not furnished,5500
Sao Paulo,39,1,1,1,24,not acept,furnished,4200
Sao Paulo,35,1,1,1,24,acept,furnished,2100
Sao Paulo,485,5,6,6,23,acept,not furnished,13000
Sao Paulo,394,4,6,4,23,acept,furnished,4000
Sao Paulo,270,4,5,4,23,acept,not furnished,12000
Sao Paulo,190,4,4,3,23,acept,furnished,7110
Sao Paulo,98,4,4,2,23,acept,not furnished,2485
Sao Paulo,311,3,6,4,23,not acept,furnished,12500
Porto Alegre,216,3,2,1,23,acept,not furnished,3800
Sao Paulo,180,3,2,1,23,acept,not furnished,7000
Sao Paulo,161,3,3,3,23,acept,furnished,15000
Sao Paulo,140,3,2,2,23,not acept,furnished,5000
Sao Paulo,130,3,3,3,23,acept,not furnished,2800
Sao Paulo,120,3,3,2,23,not acept,not furnished,7300
Sao Paulo,120,3,2,2,23,not acept,not furnished,4500
Sao Paulo,84,3,2,1,23,acept,not furnished,2200
Sao Paulo,172,2,4,3,23,acept,not furnished,11000
Sao Paulo,96,2,2,2,23,not acept,furnished,4000
Porto Alegre,72,2,1,0,23,acept,not furnished,1100
Sao Paulo,32,1,1,1,23,acept,not furnished,2000
Sao Paulo,25,1,1,0,23,acept,not furnished,2200
Sao Paulo,25,1,1,0,23,acept,not furnished,2200
Sao Paulo,23,1,1,0,23,acept,not furnished,2100
Sao Paulo,23,1,1,0,23,acept,not furnished,2100
Sao Paulo,23,1,1,0,23,acept,not furnished,2100
Sao Paulo,23,1,1,0,23,acept,not furnished,2050
Sao Paulo,23,1,1,0,23,acept,not furnished,2050
Sao Paulo,500,5,7,5,22,acept,not furnished,14000
Sao Paulo,220,5,5,4,22,acept,not furnished,8880
Sao Paulo,375,4,4,4,22,not acept,not furnished,4700
Sao Paulo,330,4,5,5,22,not acept,not furnished,4500
Sao Paulo,260,4,4,6,22,acept,furnished,5500
Sao Paulo,240,4,4,4,22,acept,not furnished,6672
Sao Paulo,225,4,5,4,22,acept,furnished,9000
Belo Horizonte,204,4,4,4,22,not acept,furnished,10000
Sao Paulo,160,4,5,2,22,acept,furnished,6800
Sao Paulo,360,3,5,4,22,acept,not furnished,3635
Sao Paulo,240,3,3,4,22,acept,not furnished,12000
Sao Paulo,220,3,4,4,22,acept,not furnished,8000
Sao Paulo,186,3,3,2,22,not acept,not furnished,5435
Sao Paulo,180,3,4,4,22,acept,not furnished,12000
